Entity,average_probability,bins
NBC,0.2171715063042938,Bin 4 (Highest)
a replacement,0.2171470986221026,Bin 4 (Highest)
relations,0.2157371072491514,Bin 4 (Highest)
economics,0.2130950147286057,Bin 4 (Highest)
You,0.2115111608116421,Bin 4 (Highest)
the award,0.2114896230081316,Bin 4 (Highest)
Dublin,0.2112977801501983,Bin 4 (Highest)
a meeting,0.2111934304371477,Bin 4 (Highest)
Lisbon,0.2105907553224824,Bin 4 (Highest)
friction,0.2104196336411405,Bin 4 (Highest)
The battle,0.2103964685135949,Bin 4 (Highest)
the mosque,0.2099817711265942,Bin 4 (Highest)
The park,0.2099811504033675,Bin 4 (Highest)
the lobby,0.2098930057599916,Bin 4 (Highest)
leagues,0.2088362431510176,Bin 4 (Highest)
furniture,0.2085670149652287,Bin 4 (Highest)
Latvia,0.2084457791884062,Bin 4 (Highest)
Karnataka,0.2078805829689372,Bin 4 (Highest)
The result,0.2075129788185611,Bin 4 (Highest)
the Spanish,0.2066346737522297,Bin 4 (Highest)
He,0.2040903007437008,Bin 4 (Highest)
videos,0.2038325964706018,Bin 4 (Highest)
the universe,0.202587676003813,Bin 4 (Highest)
Straight,0.2011935653514228,Bin 4 (Highest)
The date,0.2009454097012239,Bin 4 (Highest)
the court,0.2003397072682972,Bin 4 (Highest)
Catholics,0.1998045260319486,Bin 4 (Highest)
The key,0.1960373672028266,Bin 4 (Highest)
the band,0.1960263908342346,Bin 4 (Highest)
approval,0.1957626791205257,Bin 4 (Highest)
The audience,0.195336652233947,Bin 4 (Highest)
Gabriel,0.193603386968607,Bin 4 (Highest)
drivers,0.1925784117542207,Bin 4 (Highest)
the ministry,0.1921599276812736,Bin 4 (Highest)
Canada,0.1911728067323565,Bin 4 (Highest)
a spot,0.1908033993866653,Bin 4 (Highest)
dive,0.1905587323359213,Bin 4 (Highest)
Iran,0.1893072884296998,Bin 4 (Highest)
volunteer,0.1878700951579958,Bin 4 (Highest)
confidence,0.187392521998845,Bin 4 (Highest)
myself,0.184819977996176,Bin 4 (Highest)
